iter	RMSE
307	144970.9272
308	144823.5647
309	144682.5137
310	144588.4147
311	144427.8868
312	144188.1675
313	143930.0123
314	143745.7108
315	143690.4147
316	143480.6615
317	143374.4023
318	143271.9576
319	143152.3795
320	142988.1505
321	142810.6429
322	142635.7704
323	142567.3724
324	142396.603
325	142232.5436
326	142078.0611
327	141926.4202
328	141727.4803
329	141506.7105
330	141344.3423
331	141072.7317
332	140822.1975
333	140687.6134
334	140347.0676
335	140288.6338
336	140138.3809
337	139988.3753
338	139820.8396
339	139638.4373
340	139513.2586
341	139363.3584
342	139216.8331
343	139097.1721
344	138956.5534
345	138811.0197
346	138716.547
347	138609.8773
348	138523.6513
349	138390.6941
350	138255.1834
351	138091.4282
352	137951.6387
353	137820.1682
354	137643.8511
355	137498.9341
356	137396.9604
357	137076.3874
358	136965.1247
359	136780.8549
360	136621.1392
361	136515.5707
362	136428.8275
363	136285.701
364	136215.8979
365	136062.3364
366	135942.5629
367	135775.1468
368	135682.1533
369	135548.237
370	135384.6552
371	135181.0688
372	134987.4129
373	134860.6971
374	134709.9739
375	134594.7127
376	134450.319
377	134335.7944
378	134116.3185
379	134067.3154
380	133927.6214
381	133787.5369
382	133660.8506
383	133576.3534
384	133462.5534
385	133322.7204
386	133208.2176
387	133117.2952
388	133030.2165
389	132899.2511
390	132679.8628
391	132559.2572
392	132407.9621
393	132207.064
394	132054.0383
395	131935.9553
396	131734.9695
397	131684.498
398	131450.9722
399	131324.0929
400	131260.1981
401	131047.5532
402	130973.7411
403	130912.6461
404	130860.2123
405	130811.8922
406	130762.1523
407	130689.3126
408	130537.1825
409	130497.0884
410	130250.9991
411	130165.1965
412	130029.4168
413	129884.2696
414	129738.6618
415	129646.046
416	129607.5678
417	129395.5313
418	129218.5718
419	129159.6727
420	129035.7679
421	128929.0422
422	128810.4499
423	128713.4721
424	128489.3495
425	128369.9293
426	128333.2669
427	128296.5238
428	128118.1765
429	128079.3821
430	127980.2273
431	127814.9886
432	127711.4022
433	127606.8772
434	127387.7081
435	127292.0576
436	127114.4253
437	127001.5079
438	126778.3478
439	126670.4806
440	126510.2773
441	126373.9032
442	126344.303
443	126218.8282
444	126009.7749
445	125892.9709
446	125783.3999
447	125684.9523
448	125655.9508
449	125453.1249
450	125269.904
451	125170.1328
452	125010.1268
453	124858.4117
454	124757.3173
455	124634.2319
456	124598.1938
457	124425.6933
458	124234.0682
459	124112.4803
460	123995.9112
461	123949.9756
462	123709.0933
463	123675.0881
464	123571.9291
465	123469.0249
466	123349.9213
467	123137.8059
468	122995.6423
469	122836.1165
470	122718.7364
471	122538.5421
472	122505.9204
473	122427.6661
474	122311.4353
475	122235.4034
476	122095.4554
477	121993.3549
478	121864.4996
479	121707.2435
480	121601.2602
481	121550.7876
482	121455.8767
483	121412.6368
484	121224.0948
485	121093.4552
486	121021.1582
487	120896.3948
488	120833.4559
489	120640.1834
490	120498.1342
491	120371.0219
492	120251.5143
493	120133.8011
494	120001.9294
495	119878.2294
496	119802.5258
497	119667.652
498	119595.5977
499	119430.2878
500	119311.7705
501	119130.7993
502	119062.9597
503	118941.0409
504	118839.2859
505	118646.3343
506	118537.2664
507	118398.6142
508	118343.7637
509	118273.7697
510	118077.873
511	117964.9962
512	117853.528
513	117799.6348
514	117760.1357
515	117734.1158
516	117619.1802
517	117506.1075
518	117401.6615
519	117337.9318
520	117206.5049
521	117080.3818
522	117032.8303
523	116960.9497
524	116847.7436
525	116758.3773
526	116641.1591
527	116506.3778
528	116323.961
529	116292.6129
530	116262.5505
531	116181.0745
532	116048.3237
533	115895.3861
534	115807.2536
535	115770.0632
536	115700.1841
537	115613.9979
538	115532.0817
539	115486.0218
540	115456.7845
541	115365.5938
542	115332.6002
543	115246.6304
544	115114.6009
545	114996.2625
546	114926.3276
547	114788.1001
548	114692.1483
549	114659.2364
550	114613.2805
551	114504.6875
552	114401.438
553	114368.9494
554	114290.9394
555	114109.5583
556	114079.2668
557	114019.6308
558	113886.8449
559	113753.5598
560	113627.8681
561	113517.7181
562	113380.3615
563	113344.4236
564	113232.9909
565	113170.0807
566	113052.693
567	112959.8584
568	112841.3468
569	112767.7195
570	112644.8374
571	112576.5522
572	112409.5274
573	112300.4097
574	112256.0343
575	112155.6432
576	112050.0212
577	111957.4017
578	111931.3912
579	111782.233
580	111691.3111
581	111596.959
582	111507.339
583	111481.9163
584	111347.301
585	111260.682
586	111134.137
587	110997.891
588	110928.3158
589	110809.0937
590	110676.9031
591	110555.652
592	110510.2014
593	110478.0565
594	110418.2287
595	110390.8295
596	110278.0578
597	110225.4433
598	110174.7009
599	110053.6209
600	109906.2919
601	109828.2136
602	109806.2916
603	109722.5871
604	109679.6504
605	109638.5079
606	109563.944
607	109448.4653
608	109366.2646
609	109271.444
610	109201.9442
611	109149.7165
612	109059.9196
613	108970.6743
614	108947.6539
615	108886.5461
616	108808.9742
617	108749.0556
618	108666.7289
619	108644.338
620	108576.4098
621	108542.8391
622	108358.8191
623	108234.7852
624	108145.9368
625	108086.7548
626	108058.4659
627	107942.3358
628	107851.1993
629	107746.6813
630	107718.2261
631	107654.4315
632	107611.3141
633	107478.9722
634	107348.0496
635	107251.767
636	107091.1574
637	107028.8516
638	106975.5593
639	106860.0631
640	106738.5238
641	106654.1291
642	106570.4565
643	106514.0245
644	106386.5103
645	106343.2475
646	106321.5734
647	106236.8808
648	106207.4162
649	106148.3547
650	106068.5452
651	106031.5785
652	105976.7311
653	105870.8228
654	105795.4481
655	105691.1422
656	105607.6114
657	105535.991
658	105403.8276
659	105307.1614
660	105248.9382
661	105144.0251
662	105077.4107
663	104995.3173
664	104941.3046
665	104868.1984
666	104805.0395
667	104775.9009
668	104634.2606
669	104590.247
670	104579.0973
671	104534.6474
672	104391.3208
673	104380.4902
674	104359.9096
675	104267.3137
676	104194.8507
677	104117.6386
678	104082.5884
679	103938.6889
680	103884.8163
681	103852.1763
682	103708.8172
683	103671.4757
684	103644.3755
685	103561.1467
686	103470.2122
687	103303.2735
688	103206.5745
689	103114.8064
690	103071.219
691	102973.3552
692	102951.0659
693	102777.9049
694	102674.6563
695	102651.9807
696	102557.8957
697	102478.4695
698	102408.4445
699	102340.1879
700	102230.4295
701	102122.571
702	102103.8406
703	102025.9654
704	101956.5481
705	101871.1065
706	101836.7962
707	101783.4385
708	101698.355
709	101622.2057
710	101503.9385
711	101494.0243
712	101450.6831
713	101375.1382
714	101299.521
715	101171.5183
716	101110.3301
717	100978.0964
718	100906.6635
719	100833.1151
720	100779.6627
721	100734.1826
722	100608.744
723	100555.9417
724	100472.6018
725	100344.8492
726	100294.6866
727	100213.1675
728	100070.8276
729	100015.5378
730	99962.86224
731	99880.57143
732	99742.75298
733	99629.01732
734	99543.10879
735	99491.11852
736	99363.10807
737	99238.60805
738	99167.57366
739	99132.41647
740	99034.73175
741	98985.87659
742	98934.79375
743	98872.81854
744	98829.92528
745	98812.50522
746	98662.49961
747	98599.4075
748	98515.67239
749	98417.28522
750	98350.01503
751	98245.14328
752	98194.9032
753	98185.3135
754	98153.40334
755	98117.76825
756	98111.9183
757	98040.97696
758	97993.8718
759	97901.47301
760	97766.84736
761	97631.08527
762	97561.83794
763	97532.77274
764	97455.18546
765	97363.46211
766	97321.90133
767	97274.42087
768	97191.19813
769	97062.81425
770	96947.5364
771	96891.10354
772	96831.9145
773	96720.75356
774	96633.11799
775	96560.84428
776	96527.02819
777	96451.04764
778	96397.12653
779	96385.36048
780	96340.56731
781	96247.01098
782	96181.10136
783	96172.32702
784	96139.12082
785	96056.94757
786	95986.59081
787	95934.82224
788	95896.37698
789	95890.8673
790	95884.92277
791	95817.68575
792	95794.2262
793	95733.40973
794	95675.36364
795	95602.66917
796	95535.71958
797	95526.38934
798	95510.71435
799	95448.82464
800	95370.0555
801	95304.95575
802	95207.78444
803	95127.059
804	95101.75832
805	95047.0102
806	94939.65323
807	94859.20608
808	94816.83238
809	94783.78917
810	94732.76818
811	94705.09922
812	94695.99513
813	94601.8329
814	94520.73752
815	94483.93721
816	94475.08483
817	94408.95832
818	94284.61327
819	94253.80505
820	94222.83493
821	94149.22331
822	94070.20138
823	94016.94003
824	93889.06097
825	93808.19555
826	93799.4977
827	93767.92985
828	93712.64547
829	93651.08529
830	93575.42828
831	93512.52037
832	93452.53731
833	93372.47312
834	93309.02314
835	93220.74418
836	93137.29525
837	93078.46269
838	92944.99754
839	92895.85656
840	92803.50406
841	92712.06522
842	92659.59716
843	92573.53955
844	92539.47104
845	92482.67345
846	92409.02588
847	92333.43917
848	92214.82609
849	92107.39445
850	92067.53026
851	91987.48437
852	91957.24263
853	91864.37927
854	91773.98581
855	91717.37247
856	91643.98812
857	91637.23028
858	91558.31762
859	91459.74634
860	91383.06014
861	91355.90483
862	91279.22348
863	91209.77172
864	91111.0547
865	91042.47697
866	90989.96641
867	90935.78442
868	90930.81962
869	90894.02821
870	90836.81892
871	90779.59496
872	90711.09514
873	90707.26765
874	90644.63623
875	90639.88928
876	90539.8483
877	90473.15211
878	90388.40312
879	90293.43945
880	90201.91453
881	90173.53739
882	90127.5502
883	90047.26701
884	89997.55168
885	89924.38543
886	89919.80324
887	89815.77783
888	89748.15116
889	89690.54971
890	89687.27464
891	89655.26595
892	89588.1429
893	89490.34362
894	89400.23849
895	89339.53339
896	89269.44123
897	89196.41643
898	89167.06729
899	89097.8786
900	89068.83002
901	88983.10422
902	88905.14189
903	88854.98436
904	88797.54166
905	88731.60848
906	88684.3691
907	88650.29591
908	88595.84312
909	88530.92333
910	88494.74837
911	88388.65019
912	88343.17033
913	88337.86743
914	88285.45838
915	88224.94993
916	88131.94707
917	88084.39003
918	88081.26109
919	88005.30874
920	87967.05177
921	87916.94322
922	87884.44142
923	87849.52166
924	87752.36286
925	87696.0071
926	87660.25163
927	87617.67313
928	87578.63172
929	87557.79968
930	87484.38214
931	87382.71042
932	87331.85531
933	87328.91575
934	87280.17608
935	87248.35598
936	87207.26224
937	87178.44718
938	87098.36175
939	87065.67352
940	87062.07958
941	86985.66238
942	86945.8873
943	86904.7259
944	86852.34496
945	86804.46299
946	86750.38974
947	86667.27731
948	86600.02502
949	86545.77528
950	86480.5004
951	86458.38817
952	86398.95015
953	86315.75998
954	86273.97619
955	86210.18215
956	86155.90592
957	86084.99536
958	85993.88192
959	85922.23871
960	85862.69471
961	85809.55139
962	85771.75702
963	85726.9055
964	85702.85382
965	85639.88701
966	85580.03423
967	85576.49449
968	85516.00017
969	85482.57759
970	85407.06447
971	85340.21244
972	85266.67546
973	85187.25911
974	85133.72632
975	85065.56624
976	85040.11535
977	84988.81256
978	84916.26903
979	84911.94817
980	84886.00157
981	84881.82028
982	84835.78723
983	84745.28349
984	84697.14482
985	84650.99618
986	84607.56782
987	84552.58137
988	84497.67972
989	84431.40348
990	84364.67624
991	84300.63386
992	84242.1447
993	84198.47209
994	84150.57565
995	84083.22405
996	84029.62338
997	84005.33859
998	83938.97633
999	83873.12633
